index,product,category,sub_category
1,Garlic Oil - Vegetarian Capsule 500 mg,Beauty & Hygiene,Hair Care
2,Water Bottle - Orange,"Kitchen, Garden & Pets",Storage & Accessories
3,"Brass Angle Deep - Plain, No.2",Cleaning & Household,Pooja Needs
4,Cereal Flip Lid Container/Storage Jar - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware
5,Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Bath & Hand Wash
6,Germ - Removal Multipurpose Wipes,Cleaning & Household,All Purpose Cleaners
7,Multani Mati,Beauty & Hygiene,Skin Care
8,Hand Sanitizer - 70% Alcohol Base,Beauty & Hygiene,Bath & Hand Wash
9,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,Beauty & Hygiene,Hair Care
10,"Scrub Pad - Anti- Bacterial, Regular",Cleaning & Household,"Mops, Brushes & Scrubs"
11,Wheat Grass Powder - Raw,Gourmet & World Food,Cooking & Baking Needs
12,Butter Cookies Gold Collection,Gourmet & World Food,Chocolates & Biscuits
13,"Face Wash - Oil Control, Active",Beauty & Hygiene,Skin Care
14,Mold & Mildew Remover with Bleach,Cleaning & Household,All Purpose Cleaners
15,Just Spray - Mosquito Repellent Room Spray,Cleaning & Household,Fresheners & Repellents
16,Dove Plastic Soap Case - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware
17,Smooth Skin Oil - For Dry Skin,Beauty & Hygiene,Skin Care
18,Salted Pumpkin,Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
19,Flax Seeds - Roasted,Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
20,Organic Tofu - Soy Paneer,Gourmet & World Food,Dairy & Cheese
21,Ceramic Barrel Brush - Colour May Vary,Beauty & Hygiene,Hair Care
22,Instant Noodles - Chicken Satay Flavor,Gourmet & World Food,"Pasta, Soup & Noodles"
23,Chia Seeds,"Foodgrains, Oil & Masala",Dry Fruits
24,Cleanse Green Tea - Whole Leaf Loose Tea,Gourmet & World Food,Drinks & Beverages
25,Veggie Cutter,"Kitchen, Garden & Pets",Kitchen Accessories
26,Insulated Hot Fresh Casserole For Roti/Chapati - White,"Kitchen, Garden & Pets",Flask & Casserole
27,Granola - Happy Berries,Snacks & Branded Foods,Breakfast Cereals
28,Flaxseed - Pesticide Free,"Foodgrains, Oil & Masala",Dry Fruits
29,Paratha Puff,Snacks & Branded Foods,Frozen Veggies & Snacks
30,Lip Butter - Rose,Beauty & Hygiene,Skin Care
31,Fruit Power - Masala Sugarcane,Beverages,Fruit Juices & Drinks
32,Chocobakes Choc Filled Cookies,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari"
33,Amber - Deodorant Body Spray,Beauty & Hygiene,Fragrances & Deos
34,Green Tea - Tulsi Loose Leaf,Beverages,Tea
35,Pet Solitaire Container Set - Silver,"Kitchen, Garden & Pets",Storage & Accessories
36,Dhania - Dal,"Foodgrains, Oil & Masala",Masalas & Spices
37,Pudina Chutney Masala,"Foodgrains, Oil & Masala",Masalas & Spices
38,Bodylicious Deodorant Spray - Mate (For Men),Beauty & Hygiene,Fragrances & Deos
39,"Sport Deo Spray - Fresh, for Men",Beauty & Hygiene,Men's Grooming
40,Choco Deck - Mini Delights,Snacks & Branded Foods,Chocolates & Candies
41,Eau De Toilette - Homme Green,Beauty & Hygiene,Fragrances & Deos
42,Lemon & Tea Tree Oil Soap,Beauty & Hygiene,Bath & Hand Wash
43,Flavoured Cream Wafer Roll - Strawberry,Gourmet & World Food,Chocolates & Biscuits
44,Storage/Lunch Steel Container with PP Lid - Red,"Kitchen, Garden & Pets",Steel Utensils
45,Plain Green Olives,Gourmet & World Food,Tinned & Processed Food
46,Quinoa - Organic,"Foodgrains, Oil & Masala",Organic Staples
47,After Shave Splash - Arctic Ice,Beauty & Hygiene,Men's Grooming
48,Colour Catcher Sheets,Cleaning & Household,All Purpose Cleaners
49,Sauce - Sweet & Sour,Gourmet & World Food,"Sauces, Spreads & Dips"
50,Super Hot and Sweet Mango Chutney,Snacks & Branded Foods,Pickles & Chutney
51,Pani Puri Mix Paste,"Foodgrains, Oil & Masala",Masalas & Spices
52,Peach Syrup,Gourmet & World Food,Drinks & Beverages
53,Acne & Oil Control Face Wash,Beauty & Hygiene,Men's Grooming
54,Choco Deck - French Dessert Inspired Layered Bar,Snacks & Branded Foods,Chocolates & Candies
55,Extra Fine Green Peas,Gourmet & World Food,Tinned & Processed Food
56,Soothing Cucumber Facial Scrub With Apricot Seeds,Beauty & Hygiene,Skin Care
57,Foochka,Snacks & Branded Foods,Ready To Cook & Eat
58,Argan-Liquid Gold Hair Spa,Beauty & Hygiene,Hair Care
59,"Baby Bed Protector - Sublimation Print, Pink",Baby Care,Baby Bath & Hygiene
60,Corporate Planner Diary With Premium PU Leather Cover With Card Holder,Cleaning & Household,Stationery
61,"Atta Chalan - Stainless Steel, Size- No.8","Kitchen, Garden & Pets",Kitchen Accessories
